year,ISO_code,countries,region,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_missing,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_parental_marriage,pf_identity_parental_divorce,pf_identity_parental,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
2016,BGD,Bangladesh,South Asia,2.333137113,3.712170787,3.353369558,3.132892486,8.998764808,5,9.916130495,5,9.844534576,9.889537725,7.930040559,10,7.5,0,0,0,5.833333333,7.587379567,5,5,5,5,,,7.5,6.088888889,4.211111111,5.933333333,5,7.5,,,7.5,,,7.5,,,7.5,7,10,9.877264139,3.666666667,3.25,7.5,7.5,7.5,7.041990115,0,0,0,0,0,10,5,0,1.25,5.302600358,146,9.455882353,9.724590355,7,8,8,8,8.545118177,3.888845443,3.418127894,5.083289942,4.166666667,3.333333333,0.941148344,3.120478515,3.75496149,4.728147587,0.794871795,3.234259181,9.489123371,9.548043615,8.8973,0,6.983616746,6.24,7.22,6.1636,6.5412,6.314549447,0.162721893,3.23863567,10,5.499794682,0,7.633169251,4.377654644,6.039372579,5,8.652250915,10,7.884083638,10,5.281895797,6.693922678,10,1.36606213,10,7.223646768,3.827479283,2.666666667,9.141428042,2.488781293,6.527180179,5.123942987,4.962579742,6.690103383,6.3,120,5.801300179,138,4
2016,BRD,Barbados,Latin America & the Caribbean,7.668770921,6.520983397,5.908107974,6.699287431,5.637136413,10,10,,10,10,10,,,,,,,7.818568207,10,10,,10,,,,9.444444444,7.544444444,8.494444444,,,,,,,,,,,,,10,10,9,7.5,,,,9.125,,10,10,10,0,0,0,,5,7.706894465,54,7.564494672,5.968941943,6,6,6,6,6.383359154,6.43016363,4.110034171,6.498498057,9.8,,3.803003329,6.174797134,7.495681957,4.895975012,0.871794872,5.756723061,6.434800471,9.203652018,9.98,0,6.404613122,8.353333333,7.86,5.6344,7.282577778,6.036763717,5.286997017,5.661880367,10,6.842255023,0,9.403179512,5.415144845,7.089900747,8,0.859,10,6.286333333,8.9,3.902928673,6.350840487,8,5.683031065,10,7.139466704,4.17781926,6.666666667,9.439918082,4.353261423,4.999638041,7.253715015,6.148503081,6.524767706,6.43,111,7.068447232,67,2
2016,BLR,Belarus,Eastern Europe,4.483688962,5.93458709,4.968498773,5.128924941,8.566134566,10,10,5,10,10,9,10,10,10,10,10,10,9.188711522,0,0,10,3.333333333,,,2.5,8.471111111,4.488888889,5.153333333,2.5,2.5,,,2.5,,,2.5,,,2.5,2.5,10,10,0.666666667,2.5,7.5,5,5,5.80952381,7,10,10,10,10,10,10,5,8,6.059028163,120,5.085294118,4.460490463,10,10,5,7.5,6.761446145,,4.2,,5,5.833333333,6.970305125,9.943302288,,,0.72972973,5.525957318,8.698423241,0,7.632683846,5,5.332776772,8.066666667,8.56,6.4864,7.704355556,,9.728995482,9.728995482,10,,0.7692,1.770010261,1.269605131,7.175739042,2,4.551855399,5,3.850618466,10,,,10,7.755176154,1,7.188794038,,5.555555556,9.833614661,,9.042633915,7.93748393,8.092322015,6.37724484,6.23,123,6.144514082,128,4
2016,BEL,Belgium,Western Europe,8.669066926,7.343871578,7.240364332,7.751100945,9.220406912,10,10,10,8.941656709,5.131620863,8.814655515,10,10,10,10,10,10,9.345020809,10,10,10,10,,,10,8.333333333,6.061111111,8.131481481,10,10,,,10,,,10,,,10,10,10,10,9,9.25,10,10,10,9.75,7,10,10,10,10,10,10,10,9.25,8.987178587,19,2.491176471,2.010415679,10,2,0,1,3.875398037,7.683749198,5.396705867,7.907517752,10,8.333333333,5.565037753,4.767009987,7.667311827,6.278735797,1,7.066600168,8.094896529,9.808966854,9.6056,10,9.377365846,9,8.96,6.8384,8.266133333,6.151283582,9.963313765,8.057298673,10,7.854413986,3.846153846,7.743794892,6.481454241,8.201221562,10,8.818197391,10,9.606065797,8.9,3.646229903,5.41886727,6,10,10,7.327516196,3.417021433,8.666666667,9.758030092,6.46940883,7.459619696,8.4755316,7.37437972,8.102653904,7.32,52,8.153589293,27,1
2016,BLZ,Belize,Latin America & the Caribbean,4.753382656,4.73776594,3.315467431,4.268872009,0,10,10,,10,10,10,,,10,10,10,10,6.666666667,10,10,,10,,,,9.593333333,8.516666667,9.055,,,,,,,,,,,,,10,10,7.333333333,6.75,,,,8.520833333,,10,10,10,10,10,10,,10,7.430863836,66,6.632643345,8.431259972,4,9,,9,7.015975829,8.027163908,4.2,7.385106292,6.4,,3.329065561,7.288231811,3.329,4.767009987,0.837837838,5.137397422,9.412644974,9.545453008,9.86,0,7.204524495,7.073333333,7.8,4.984,6.619111111,7.92269579,5.82368947,6.87319263,10,7.822641806,0,6.305661555,4.709434454,7.050434549,10,9.84382553,10,9.947941843,7.766666667,3.294443433,6.505965706,8,6.546424852,10,7.018916776,3.039406998,4.888888889,8.259834614,6.724503932,8.843606641,8.352229009,6.684745014,7.883867878,6.86,83,7.145431918,64,2
2016,BEN,Benin,Sub-Saharan Africa,,,,4.129479992,7.526894608,10,10,7.5,10,10,9.5,8.7,7.5,5,5,5,7.066666667,8.031187091,5,10,5,6.666666667,,,10,8.606666667,9.633333333,9.413333333,10,10,,,10,,,7.5,,,10,9.5,10,10,5.666666667,7.25,10,10,10,8.988095238,,10,10,10,10,10,10,10,10,7.496976295,61,7.458823529,9.771474636,4,4,3,3.5,6.182574541,3.35232695,4.098691146,4.988822142,6.3,,1.068746974,6.58160217,5.510087808,4.978126685,0.658536585,3.822761377,9.438972577,8.80256768,9.814,0,7.013885064,5.84,7.56,7.0232,6.807733333,4.270246823,5.155640889,4.712943856,10,5.217277606,0.769230769,1.770010261,2.585506212,6.02654585,10,5.46376984,10,8.48792328,6.1,4.970766307,7.986614703,8,7.5681075,1,5.937581418,3.71700128,4.222222222,9.671814288,2.790033976,9.479134063,6.973481854,6.14228128,6.85592866,5.98,134,6.738488147,90,3
2016,BTN,Bhutan,South Asia,,,,5.925574544,9.548283477,10,10,7.5,10,10,9.5,10,7.5,5,5,5,7.5,8.849427826,5,0,10,5,,,,9.426666667,5.088888889,7.257777778,,,,,,,,,,,,,10,10,4,5,,,,7.25,0,,10,10,0,0,0,5,3.75,6.600972815,96,4.447058824,9.899419951,7,9,8,8.5,7.461619694,6.159169673,5.319348177,6.705373923,9.2,,7.365354835,6.901202527,7.96943744,7.54739364,0.923076923,6.871067334,8.673922932,9.085121946,9.1246,0,6.72091122,9.673333333,5.54,4.202,6.471777778,5.36619107,9.501185608,7.433688339,10,3.942180474,0,0.331876924,1.424685799,6.332537979,5,9.296414812,9,7.765471604,10,5.335125923,6.650586128,10,10,10,8.664285342,4.7737209,2.444444444,9.574834201,5.736825228,8.470915205,9.04720725,6.674657871,7.701471606,7.02,73,6.810486407,83,3
2016,BOL,Bolivia,Latin America & the Caribbean,3.70286887,3.361330728,2.090005954,3.051401851,7.479923513,10,10,7.5,10,10,9.5,10,10,5,5,5,8.333333333,8.437752282,10,10,10,10,,,7.5,8.851111111,8.933333333,8.428148148,7.5,7.5,,,5,,,5,,,7.5,6.5,10,10,4.666666667,4.25,10,10,10,8.416666667,10,10,10,10,10,10,10,10,10,7.206770015,73,5.814705882,8.836512262,0,10,10,10,6.162804536,0.956256059,1.703646022,3.41251835,5,4.166666667,4.491576292,6.75412581,2.460317612,5.990888701,0.871794872,3.632945402,9.969644364,8.30055652,9.275,10,9.386300221,9.237933285,7.66,6.3496,7.749177762,4.917059725,3.045000262,3.981029993,10,4.038498776,4.615384615,10,6.21796113,6.987042221,8,4.892,10,7.630666667,1.1,2.013098623,5.629298853,8,,3,3.948479495,2.542555873,1.777777778,7.992014915,2.10330488,5.664340718,0,3.346665694,4.975270619,6.23,123,6.718385007,92,3
2016,BIH,Bosnia and Herzegovina,Eastern Europe,6.312217024,4.995851416,5.102172745,5.470080395,9.489854712,10,10,5,10,10,9,10,10,5,5,5,8.333333333,8.941062682,5,5,10,6.666666667,,,10,8.417777778,7.127777778,8.515185185,10,7.5,,,10,,,10,,,10,9.5,10,10,6.333333333,4.25,10,10,10,8.654761905,7,10,10,10,10,10,10,10,9.25,7.861447145,47,5.582352941,5.352167397,4,10,3,6.5,5.358630085,3.081718287,2.357058128,3.628379503,5.1,,3.79305681,7.837119866,4.37454462,5.173087915,0.871794872,4.134907779,8.806768787,9.707141922,9.749712,5,8.315905677,9.99,8.74,6.9256,8.551866667,4.742879073,9.595859387,7.16936923,10,4.658517043,3.076923077,8.518174381,5.4178715,7.784776849,10,8.683700717,10,9.561233572,5.566666667,3.885142803,7.440884113,10,7.505751282,10,7.399740811,2.48684446,5.111111111,7.798699061,3.149829626,7.739726681,5.392966822,5.27986296,7.413612448,6.6,98,7.230723572,59,2
2016,BWA,Botswana,Sub-Saharan Africa,5.333480722,6.055928442,5.535642631,5.641683932,3.984711638,10,10,10,10,10,10,10,7.5,5,5,5,7.5,7.161570546,10,10,5,8.333333333,,,,9.777777778,8.238888889,9.008333333,,,,,,,,,,,,,10,10,6,5.25,,,,7.8125,7,5,5,5,0,0,0,5,4.25,6.876334453,86,3.644117647,7.164032698,7,9,9,9,6.702037586,5.342911085,5.415025353,6.81322813,8.333333333,5.833333333,3.072296317,7.813293278,6.060113112,5.566627185,0.974358974,5.950516249,8.753210986,8.227721908,9.2462,10,9.056783223,3.76,8.48,5.592,5.944,5.636884372,9.392902984,7.514893678,10,6.393007834,5.384615385,10,7.25920774,7.679525354,8,9.57025846,9,8.85675282,10,4.776520332,6.497997443,10,3.783564734,10,7.509680418,4.30487593,6.222222222,8.455853343,4.829547882,9.190004086,8.654880824,6.942897381,7.769776873,7.43,44,7.153167226,64,2
2016,BRA,Brazil,Latin America & the Caribbean,4.965023122,5.288790786,3.701203682,4.65167253,0,10,10,10,9.998394757,10,9.999678951,10,10,5,5,5,8.333333333,6.111004095,10,10,10,10,,,5,8.157777778,9.077777778,7.411851852,10,10,,,2.5,,,2.5,,,7.5,6.5,8.55528119,10,5.333333333,4.5,10,10,10,8.341230646,0,10,10,10,10,10,10,10,7.5,6.665977406,94,4.714705882,5.786374387,4,8,4,6,5.125270067,5.175664425,3.006006082,5.518025557,6.666666667,3.333333333,3.663252449,8.354687983,4.299419323,2.80659,0.923076923,4.575175835,9.103944726,9.532096557,8.2522,5,7.972060321,8.373333333,7.3,6.112,7.261777778,3.995878697,7.0210154,5.508447048,10,5.198825598,2.307692308,8.186297457,5.230938454,7.00029082,5,3.620091628,5,4.540030543,2.233333333,1.33648634,5.20272255,6,7.126625477,3,4.149861283,1.1215657,5.111111111,7.402163386,2.906824788,4.998552164,0,3.590036191,4.093309339,5.75,144,6.207988703,123,4
2016,BRN,Brunei Darussalam,South Asia,,,,6.163383438,9.802817735,10,10,,10,10,10,,,0,0,0,0,6.600939245,10,5,,7.5,,,0,,,0,0,0,,,0,,,2.5,,,2.5,1,10,10,0.666666667,3.75,2.5,2.5,2.5,4.55952381,0,0,0,0,0,10,5,,1.666666667,4.663699718,153,0,,,10,10,10,5,5.154732068,3.52338473,5.659206708,8.333333333,8.333333333,4.171103526,4.802773258,6.560233433,7.161271572,0.794871795,5.35463823,9.498932855,5.837362927,9.85354,10,8.797458945,,9.76,8.7568,9.2584,5.185435613,2.337278107,3.76135686,10,5.130599737,6.153846154,4.314400011,5.199615301,7.05484304,,8.257152516,10,9.128576258,10,4.704936743,7.415310542,10,10,10,8.686707881,3.981527487,6.888888889,9.588238439,5.782012185,9.562695522,9.280361241,7.51395396,8.443079366,6.93,77,5.796849859,138,4
2016,BGR,Bulgaria,Eastern Europe,4.984199294,5.631896601,4.058020693,4.891372196,9.545583195,10,10,10,10,9.971940938,9.994388188,10,10,10,10,10,10,9.846657127,10,10,10,10,,,7.5,8.088888889,5.827777778,7.138888889,10,10,,,7.5,,,10,,,10,9.5,10,10,6,5.75,10,10,10,8.821428571,7,10,10,10,10,10,10,10,9.25,8.155539077,41,5.747058824,5.846511721,8,10,7,8.5,7.023392636,3.325276375,3.326449394,4.183209737,8.333333333,5,5.083931827,8.6876519,4.260773262,4.903684855,0.846153846,4.831211352,8.462607943,9.454486725,9.8403,10,9.439348667,9,8.96,6.8384,8.266133333,5.369018713,9.839054187,7.60403645,10,5.301504136,6.923076923,7.633169251,6.619250103,8.122354972,10,8.831714707,10,9.610571569,5.566666667,4.577230215,6.818470955,6,9.251725385,10,7.035682204,3.909035127,6.222222222,9.251014408,3.517540336,9.329954097,4.92217511,6.191990217,7.612747996,7.41,46,7.782769538,41,1
2016,BFA,Burkina Faso,Sub-Saharan Africa,5.148741768,4.884167401,4.548815495,4.860574888,9.85202056,10,10,7.5,9.302815718,9.806933583,9.32194986,2.4,10,5,5,5,5.8,8.324656807,10,10,5,8.333333333,,,7.5,8.128888889,8.427777778,8.018888889,7.5,7.5,,,7.5,,,7.5,,,7.5,7.5,10,10,4.666666667,7,7.5,7.5,7.5,7.738095238,,10,10,10,10,10,10,10,10,7.45533967,63,3.121846414,10,2,9,4,6.5,5.405461604,1.853980189,3.594626659,4.163926422,3.333333333,5.833333333,2.139195153,4.789216241,5.077216989,4.677293378,0.871794872,3.68765653,9.902544898,8.632590243,9.9506,0,7.121433785,7.52,7.56,7.0232,7.367733333,5.486452037,3.589965546,4.538208791,10,5.572018732,0.769230769,7.190666685,4.510638729,6.604145213,10,8.026940847,9,9.008980282,6.666666667,5.150893315,7.190212066,6,7.942244808,10,7.158336143,4.330187856,4.222222222,9.114328906,3.114515862,8.937328934,6.973481854,6.115344272,7.427553566,6.05,129,6.752669835,88,3
